Entity,Code,Year,World,European Union and United Kingdom,China,United States
Legal technology,,2020,385197280,75879700,4530675,304786904
Legal technology,,2021,252689456,116506680,39960000,89722776
Legal technology,,2022,768606509,56314360,43702571,661033921
Marketing and digital ads,,2017,1018117875,251016930,132839692,540684001
Marketing and digital ads,,2018,963671743,74443572,201967687,548769395
Marketing and digital ads,,2019,2161257690,483905459,90769962,1457719559
Marketing and digital ads,,2020,957675085,85309959,290933475,505555632
Marketing and digital ads,,2021,1514237568,182932456,194996304,1069354879
Marketing and digital ads,,2022,2824636407,701624001,811250613,1055013635
Medical and healthcare,,2017,2643466659,339881508,373718565,1787252592
Medical and healthcare,,2018,5883191498,297563920,502976635,4752017398
Medical and healthcare,,2019,5497100065,1142473179,369221918,3572848788
Medical and healthcare,,2020,7524641500,455859599,548736964,5959282699
Medical and healthcare,,2021,8615669754,1741353900,400878916,5736596464
Medical and healthcare,,2022,5605698104,707457022,235405533,3883317553
Music and video content,,2017,1691121432,73139026,895870606,585864417
Music and video content,,2018,2974951949,27152868,2034076854,666737849
Music and video content,,2019,4455514840,690401753,1162147717,2453199015
Music and video content,,2020,1247029083,142003990,254878601,815119373
Music and video content,,2021,2106094103,330821153,603025227,964670246
Music and video content,,2022,1588582322,408435253,28425189,1015177331
"Natural Language Processing, customer support",,2017,1064713214,44535026,378848297,429688826
"Natural Language Processing, customer support",,2018,3027138202,86070607,2209821848,655875394
"Natural Language Processing, customer support",,2019,1012226187,158195501,176383746,473966675
"Natural Language Processing, customer support",,2020,802107008,86578833,215407191,408187274
"Natural Language Processing, customer support",,2021,1604202423,69318413,24660000,1428715843
"Natural Language Processing, customer support",,2022,931708894,33783127,122824695,635764264
Retail,,2017,1304954256,254675526,2426346,827400007
Retail,,2018,2766266344,207174965,841717860,1330376349
Retail,,2019,2344809160,693727948,177780287,1194640069
Retail,,2020,2514590725,142102488,29802136,2139310867
Retail,,2021,4335869189,55454106,46091554,3276723875
Retail,,2022,3888940189,1914569974,13888529,1410866709
Sales enablement,,2017,2806352754,133648989,1848675835,762046941
Sales enablement,,2018,3381621927,107607341,1863744207,1212903127
Sales enablement,,2019,3664821906,35216245,2160764156,1163191612
Sales enablement,,2020,2491240999,93847522,859738029,1504536420
Sales enablement,,2021,3917398928,30339737,1088548323,2647310868
Sales enablement,,2022,2941835680,147968093,1557779673,1039963332
Semiconductors,,2017,300236435,113199044,60263475,126773916
Semiconductors,,2018,555802770,73652259,131522869,337907765
Semiconductors,,2019,961561639,588479284,73956988,241891093
Semiconductors,,2020,927619870,52348929,207361436,576267636
Semiconductors,,2021,632603641,85704897,204339955,156558789
Semiconductors,,2022,1532108942,11481184,946096889,536568891
Total,,2013,6011920914,612766048,717195269,4211473455
Total,,2014,10940602458,1369480910,771391003,7963110307
Total,,2015,15258725683,903747229,2385247392,10632656532
Total,,2016,19340732121,1311274211,5102954592,11464247704
Total,,2017,28434536002,2687729049,7314151975,15548790772
Total,,2018,46508641939,2955166939,15069705393,22716597215
Total,,2019,58389972850,6202067697,14892596238,30795184157
Total,,2020,64505628706,5599432467,17094749150,35531472847
Total,,2021,125356874235,12500782453,22848295305,73395940859
Total,,2022,85055265067,10217823819,12412402667,43848726664
Venture capital,,2017,160103509,9424792,115426266,15476426
Venture capital,,2018,217600809,0,107910146,109690663
Venture capital,,2019,106903067,26497349,0,28617137
Venture capital,,2020,179347432,0,124590452,4502008
Venture capital,,2021,225784599,0,0,60011724
Venture capital,,2022,14814431,14814431,0,0
