x,y,shot
-95,238,0
-20,13,0
10,20,0
10,12,1
226,97,1
11,10,1
199,180,0
117,222,1
122,81,0
136,127,1
128,239,1
-144,221,1
169,203,0
126,142,1
126,219,0
-127,77,1
99,230,0
145,209,0
12,131,1
-209,133,0
-30,159,1
-164,189,1
-230,-11,0
-8,20,1
6,248,1
-62,138,0
8,13,1
67,250,0
23,258,1
6,9,1
235,93,0
16,21,1
-8,18,1
-130,236,1
-224,138,1
75,325,1
-34,20,0
-128,256,0
-217,243,0
8,16,0
-9,13,0
140,210,1
6,157,1
42,22,0
-122,162,1
87,244,1
47,252,1
230,64,0
18,7,1
144,480,0
73,235,0
18,261,1
-231,1,0
132,158,1
20,37,0
-75,232,1
185,168,1
-152,198,0
-9,26,0
103,232,0
-162,187,0
3,8,0
65,253,1
-13,260,0
3,5,0
24,256,0
-193,171,0
95,169,1
0,3,0
160,185,0
-79,237,1
-6,572,0
-5,15,0
214,137,1
105,241,1
-179,185,1
231,95,0
-40,263,0
-179,181,0
13,18,0
-19,263,1
-221,121,0
227,12,0
-226,113,0
-150,206,0
133,220,0
-9,73,0
-170,188,1
-18,20,1
70,252,0
-78,159,0
152,215,1
-136,216,1
-211,122,1
175,188,1
-131,255,0
2,264,1
61,256,1
-78,157,1
125,227,0
3,15,1
131,238,1
-169,216,1
-226,71,1
-144,244,0
-12,18,1
82,199,1
-157,210,0
159,201,0
-6,278,1
110,147,0
165,218,1
46,104,1
235,27,1
-196,162,0
-16,163,1
6,30,1
190,169,1
141,209,0
149,229,0
-195,452,0
-196,164,1
-170,131,1
5,11,1
145,218,1
-168,134,0
19,36,0
9,17,1
-45,253,1
131,227,1
-50,263,1
-1,128,0
94,36,1
146,202,0
-38,273,1
-5,12,1
223,126,0
67,55,1
-163,188,0
-18,10,0
16,8,0
-19,9,1
-70,248,1
235,82,0
1,6,1
37,47,0
163,197,0
130,225,0
-229,6,0
230,67,0
-229,-4,0
138,210,0
-36,6,0
-228,25,0
-55,270,1
-27,15,1
3,34,1
13,15,1
13,41,0
-32,16,0
231,50,1
-195,174,1
-4,253,0
106,10,1
76,258,0
234,22,0
177,188,1
214,120,1
27,21,1
88,226,0
190,199,0
111,231,0
-15,6,1
204,127,0
38,22,1
54,243,0
-95,232,1
-186,174,1
-186,193,0
-25,28,0
-152,206,0
-134,281,1
-117,155,1
157,247,0
13,265,0
2,102,1
105,253,1
26,33,0
-2,23,1
127,228,0
-6,270,0
225,53,0
145,214,1
36,262,0
9,20,1
-171,605,0
226,109,0
-69,156,1
130,227,1
160,211,1
156,237,0
167,199,0
225,41,1
144,231,0
128,257,1
-13,9,1
1,59,1
28,267,0
127,226,1
223,66,1
128,231,0
-6,18,1
3,11,1
-156,209,0
-5,11,1
1,32,0
104,247,1
-102,251,0
52,91,0
2,23,1
-7,657,0
-5,252,0
85,267,0
66,243,0
116,232,0
192,180,1
115,138,1
-3,16,0
39,676,0
6,0,1
130,67,1
132,226,1
-2,78,1
-89,263,1
-96,147,1
-23,12,0
6,20,0
-145,426,0
123,42,0
-194,151,0
-82,231,0
-55,17,0
-4,25,0
11,17,1
-3,20,0
-228,6,0
-199,142,1
198,139,1
-29,251,0
6,10,1
-8,-4,1
-228,31,0
-60,243,1
228,69,0
-81,238,0
10,11,1
152,81,0
198,36,0
-134,262,0
-79,362,1
-20,251,1
73,253,1
8,13,1
95,38,1
-18,6,1
180,185,1
-13,266,1
61,250,0
-112,-1,1
-16,269,1
13,252,0
-35,41,1
125,262,1
62,251,1
-17,36,0
176,186,1
-89,275,1
-168,217,0
226,78,0
105,163,0
5,20,1
4,18,0
-166,191,1
-144,609,0
232,14,0
-18,260,0
101,85,0
2,36,1
236,20,1
-144,218,1
-102,142,1
-234,-4,0
-227,-1,0
-46,158,1
20,267,0
104,246,0
-76,247,1
63,177,0
-6,10,1
230,56,0
-133,222,1
-177,183,0
5,-5,0
204,5,0
-3,34,1
140,84,1
130,214,1
114,231,1
209,162,0
-8,135,0
18,26,0
241,53,1
165,299,0
-124,243,1
-144,204,1
30,35,0
143,230,0
-160,122,0
-186,80,0
214,126,0
-6,4,1
-157,209,0
-235,0,1
-174,195,0
-8,7,1
-111,246,0
-221,113,1
0,11,0
3,8,0
-175,189,1
26,174,1
206,133,1
6,12,1
63,242,0
117,217,0
-24,18,1
126,215,1
224,84,0
225,26,0
-131,231,0
92,157,1
132,229,0
-58,50,1
-25,284,1
2,278,1
56,124,0
38,248,1
-177,210,0
-11,16,1
-23,47,1
-32,32,0
-236,33,1
136,237,0
71,160,1
81,268,0
9,18,1
150,210,1
-147,235,1
90,248,0
-119,100,0
136,58,0
83,279,0
-109,132,1
106,232,0
89,144,0
-215,126,0
-113,115,1
56,110,1
103,142,1
109,235,0
158,-1,1
184,190,1
60,253,0
-145,112,1
18,27,0
59,257,1
-7,32,1
217,132,1
